time,updated_x,updated_y,prev_qr_x,prev_qr_y,dest_qr_x,dest_qr_y,distance_from_prev_qr,curr_angle,desired_angle,angle_to_turn,flavor
1501806013107,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.67,90.0,0.33,0
1501806015590,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015597,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015601,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015605,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015608,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015612,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015624,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015627,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015629,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015632,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015634,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015637,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015639,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015642,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015646,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015649,0.0,0.0,0.0,0.0,0.0,60.0,0.0,89.34,90.0,0.66,0
1501806015652,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015656,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015664,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015672,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015678,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015682,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015686,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015693,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015697,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015706,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015709,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015712,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015714,-0.1,0.2,0.0,0.0,0.0,60.0,0.22,89.34,90.0,0.66,0
1501806015728,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,89.34,90.0,0.66,0
1501806015731,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,89.34,90.0,0.66,0
1501806015734,-0.2,0.4,0.0,0.0,0.0,60.0,0.45,89.34,90.0,0.66,0
