time,updated_x,updated_y,prev_qr_x,prev_qr_y,dest_qr_x,dest_qr_y,distance_from_prev_qr,curr_angle,desired_angle,angle_to_turn,flavor
1501808557308,0.0,0.0,0.0,0.0,0.0,60.0,0.0,90.68,90.0,-0.68,0
1501808559790,0.0,0.0,0.0,0.0,0.0,60.0,0.0,90.0,90.0,0.0,0
1501808559794,0.0,0.0,0.0,0.0,0.0,60.0,0.0,90.0,90.0,0.0,0
1501808559798,0.0,0.0,0.0,0.0,0.0,60.0,0.0,90.0,90.0,0.0,0
1501808559802,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559805,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559808,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559810,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559812,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559814,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559825,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559827,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559830,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559832,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559836,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559843,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559848,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559852,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559858,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559862,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559866,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559869,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559872,0.0,0.2,0.0,0.0,0.0,60.0,0.22,90.0,90.0,0.0,0
1501808559876,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559885,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559889,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559891,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559893,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559896,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559899,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559902,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559905,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559908,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559911,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559919,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559922,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559926,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559931,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559934,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559937,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559941,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559945,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559948,0.0,0.4,0.0,0.0,0.0,60.0,0.45,90.0,90.0,0.0,0
1501808559953,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559956,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559959,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559962,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559964,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559967,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559977,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559979,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559984,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559988,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559991,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559994,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808559999,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808560002,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808560008,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808560012,0.0,0.7,0.0,0.0,0.0,60.0,0.67,90.0,90.0,0.0,0
1501808560017,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560021,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560025,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560028,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560032,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560035,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560039,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560042,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560044,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560047,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560049,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560052,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560054,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560056,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560064,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560068,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560070,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560073,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560076,0.0,0.9,0.0,0.0,0.0,60.0,0.9,90.0,90.0,0.0,0
1501808560080,0.0,1.1,0.0,0.0,0.0,60.0,1.12,90.0,90.0,0.0,0
1501808560086,0.0,1.1,0.0,0.0,0.0,60.0,1.12,90.0,90.0,0.0,0
1501808560091,0.0,1.1,0.0,0.0,0.0,60.0,1.12,90.0,90.0,0.0,0
1501808560095,0.0,1.1,0.0,0.0,0.0,60.0,1.12,90.0,90.0,0.0,0
1501808560099,0.0,1.1,0.0,0.0,0.0,60.0,1.12,90.0,90.0,0.0,0
1501808560107,0.0,1.1,0.0,0.0,0.0,60.0,1.12,90.0,90.0,0.0,0
